fullDisplayName,category,assessment,columnHeader,description
Left rostralmiddlefrontal Average Thickness,FreeSurfer,Surface Thickness,FS_L_Rostralmiddlefrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_middle_frontal_gyrus\"">Rostral Middle Frontal Gyrus</a>"
Left superiorfrontal Average Thickness,FreeSurfer,Surface Thickness,FS_L_Superiorfrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_frontal_gyrus\"">Superior Frontal Gyrus</a>"
Left superiorparietal Average Thickness,FreeSurfer,Surface Thickness,FS_L_Superiorparietal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_parietal_cortex\"">Superior Parietal Cortex </a>"
Left superiortemporal Average Thickness,FreeSurfer,Surface Thickness,FS_L_Superiortemporal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_temporal_gyrus\"">Superior Temporal Gyrus</a>"
Left supramarginal Average Thickness,FreeSurfer,Surface Thickness,FS_L_Supramarginal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Supramarginal_gyrus\"">Supramarginal Gyrus</a>"
Left frontalpole Average Thickness,FreeSurfer,Surface Thickness,FS_L_Frontalpole_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Frontal_pole\"">Frontal Pole</a>"
Left temporalpole Average Thickness,FreeSurfer,Surface Thickness,FS_L_Temporalpole_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Temporal_pole\"">Temporal Pole</a>"
Left transversetemporal Average Thickness,FreeSurfer,Surface Thickness,FS_L_Transversetemporal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a>"
Left Insula Average Thickness,FreeSurfer,Surface Thickness,FS_L_Insula_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Insula\"">Insula</a>"
Right bankssts Average Thickness,FreeSurfer,Surface Thickness,FS_R_Bankssts_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Banks_of_superior_temporal_sulcus\"">Banks of the Superior Temporal Sulcus</a>"
Right caudalanteriorcingulate Average Thickness,FreeSurfer,Surface Thickness,FS_R_Caudalanteriorcingulate_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_anterior_cingulate_cortex\"">Caudal Anterior Cingulate Cortex</a>"
Right caudalmiddlefrontal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Caudalmiddlefrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_middle_frontal_gyrus\"">Caudal Middle Frontal Gyrus</a>"
Right cuneus Average Thickness,FreeSurfer,Surface Thickness,FS_R_Cuneus_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Cuneus_cortex\"">Cuneus Cortex</a>"
Right entorhinal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Entorhinal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Entorhinal_cortex\"">Entorhinal Cortex</a>"
Right fusiform Average Thickness,FreeSurfer,Surface Thickness,FS_R_Fusiform_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Fusiform_gyrus\"">Fusiform Gyrus</a>"
Right inferiorparietal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Inferiorparietal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_parietal_cortex\"">Inferior Parietal Cortex </a>"
Right inferiortemporal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Inferiortemporal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_temporal_gyrus\"">Inferior Temporal Gyrus</a>"
Right isthmuscingulate Average Thickness,FreeSurfer,Surface Thickness,FS_R_Isthmuscingulate_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Isthmus_of_cingulate_gyrus\"">Isthmus Cingulate Gyrus</a>"
Right lateraloccipital Average Thickness,FreeSurfer,Surface Thickness,FS_R_Lateraloccipital_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lateral_occipital_cortex\"">Lateral Occipital Cortex</a>"
Right lateralorbitofrontal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Lateralorbitofrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lateral_orbital_frontal_cortex\"">Lateral Orbital Frontal Cortex</a>"
Right lingual Average Thickness,FreeSurfer,Surface Thickness,FS_R_Lingual_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lingual_gyrus\"">Lingual Gyrus</a>"
Right medialorbitofrontal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Medialorbitofrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Medial_orbital_frontal_cortex\"">Medial Orbital Frontal Cortex</a>"
Right middletemporal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Middletemporal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Middle_temporal_gyrus\"">Middle Temporal Gyrus</a>"
Right parahippocampal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Parahippocampal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Parahippocampal_gyrus\"">Parahippocampal Gyrus</a>"
Right paracentral Average Thickness,FreeSurfer,Surface Thickness,FS_R_Paracentral_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Paracentral_sulcus\"">Paracentral Sulcus</a>"
Right parsopercularis Average Thickness,FreeSurfer,Surface Thickness,FS_R_Parsopercularis_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Opercular_part_of_inferior_frontal_gyrus\"">Opercular Part of Inferior Frontal Gyrus</a>"
Right parsorbitalis Average Thickness,FreeSurfer,Surface Thickness,FS_R_Parsorbitalis_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Orbital_part_of_inferior_frontal_gyrus\"">Orbital Part of Inferior Frontal Gyrus</a>"
Right parstriangularis Average Thickness,FreeSurfer,Surface Thickness,FS_R_Parstriangularis_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Triangular_part_of_inferior_frontal_gyrus\"">Triangular Part of Inferior Frontal Gyrus</a>"
Right pericalcarine Average Thickness,FreeSurfer,Surface Thickness,FS_R_Pericalcarine_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Pericalcarine_cortex\"">Pericalcarine Cortex</a>"
Right postcentral Average Thickness,FreeSurfer,Surface Thickness,FS_R_Postcentral_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Postcentral_gyrus\"">Postcentral Gyrus</a>"
Right posteriorcingulate Average Thickness,FreeSurfer,Surface Thickness,FS_R_Posteriorcingulate_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Posterior_cingulate_gyrus\"">Posterior Cingulate Gyrus</a>"
Right precentral Average Thickness,FreeSurfer,Surface Thickness,FS_R_Precentral_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precentral_gyrus\"">Precentral Gyrus</a>"
Right precuneus Average Thickness,FreeSurfer,Surface Thickness,FS_R_Precuneus_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precuneus_cortex\"">Precuneus Cortex</a>"
Right rostralanteriorcingulate Average Thickness,FreeSurfer,Surface Thickness,FS_R_Rostralanteriorcingulate_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_anterior_cingulate_cortex\"">Rostral Anterior Cingulate Cortex</a>"
Right rostralmiddlefrontal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Rostralmiddlefrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_middle_frontal_gyrus\"">Rostral Middle Frontal Gyrus</a>"
Right superiorfrontal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Superiorfrontal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_frontal_gyrus\"">Superior Frontal Gyrus</a>"
Right superiorparietal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Superiorparietal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_parietal_cortex\"">Superior Parietal Cortex </a>"
Right superiortemporal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Superiortemporal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_temporal_gyrus\"">Superior Temporal Gyrus</a>"
Right supramarginal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Supramarginal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Supramarginal_gyrus\"">Supramarginal Gyrus</a>"
Right frontalpole Average Thickness,FreeSurfer,Surface Thickness,FS_R_Frontalpole_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Frontal_pole\"">Frontal Pole</a>"
Right temporalpole Average Thickness,FreeSurfer,Surface Thickness,FS_R_Temporalpole_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Temporal_pole\"">Temporal Pole</a>"
Right transversetemporal Average Thickness,FreeSurfer,Surface Thickness,FS_R_Transversetemporal_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a>"
Right Insula Average Thickness,FreeSurfer,Surface Thickness,FS_R_Insula_Thck,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Insula\"">Insula</a>"
Left bankssts Surface Area,FreeSurfer,Surface Area,FS_L_Bankssts_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Banks_of_superior_temporal_sulcus\"">Banks of the Superior Temporal Sulcus</a>"
Left caudalanteriorcingulate Surface Area,FreeSurfer,Surface Area,FS_L_Caudalanteriorcingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_anterior_cingulate_cortex\"">Caudal Anterior Cingulate Cortex</a>"
Left caudalmiddlefrontal Surface Area,FreeSurfer,Surface Area,FS_L_Caudalmiddlefrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_middle_frontal_gyrus\"">Caudal Middle Frontal Gyrus</a>"
Left cuneus Surface Area,FreeSurfer,Surface Area,FS_L_Cuneus_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Cuneus_cortex\"">Cuneus Cortex</a>"
Left entorhinal Surface Area,FreeSurfer,Surface Area,FS_L_Entorhinal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Entorhinal_cortex\"">Entorhinal Cortex</a>"
Left fusiform Surface Area,FreeSurfer,Surface Area,FS_L_Fusiform_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Fusiform_gyrus\"">Fusiform Gyrus</a>"
Left inferiorparietal Surface Area,FreeSurfer,Surface Area,FS_L_Inferiorparietal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_parietal_cortex\"">Inferior Parietal Cortex </a>"
Left inferiortemporal Surface Area,FreeSurfer,Surface Area,FS_L_Inferiortemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_temporal_gyrus\"">Inferior Temporal Gyrus</a>"
Left isthmuscingulate Surface Area,FreeSurfer,Surface Area,FS_L_Isthmuscingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Isthmus_of_cingulate_gyrus\"">Isthmus Cingulate Gyrus</a>"
Left lateraloccipital Surface Area,FreeSurfer,Surface Area,FS_L_Lateraloccipital_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lateral_occipital_cortex\"">Lateral Occipital Cortex</a>"
Left lateralorbitofrontal Surface Area,FreeSurfer,Surface Area,FS_L_Lateralorbitofrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lateral_orbital_frontal_cortex\"">Lateral Orbital Frontal Cortex</a>"
Left lingual Surface Area,FreeSurfer,Surface Area,FS_L_Lingual_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lingual_gyrus\"">Lingual Gyrus</a>"
Left medialorbitofrontal Surface Area,FreeSurfer,Surface Area,FS_L_Medialorbitofrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Medial_orbital_frontal_cortex\"">Medial Orbital Frontal Cortex</a>"
Left middletemporal Surface Area,FreeSurfer,Surface Area,FS_L_Middletemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Middle_temporal_gyrus\"">Middle Temporal Gyrus</a>"
Left parahippocampal Surface Area,FreeSurfer,Surface Area,FS_L_Parahippocampal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Parahippocampal_gyrus\"">Parahippocampal Gyrus</a>"
Left paracentral Surface Area,FreeSurfer,Surface Area,FS_L_Paracentral_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Paracentral_sulcus\"">Paracentral Sulcus</a>"
Left parsopercularis Surface Area,FreeSurfer,Surface Area,FS_L_Parsopercularis_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Opercular_part_of_inferior_frontal_gyrus\"">Opercular Part of Inferior Frontal Gyrus</a>"
Left parsorbitalis Surface Area,FreeSurfer,Surface Area,FS_L_Parsorbitalis_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Orbital_part_of_inferior_frontal_gyrus\"">Orbital Part of Inferior Frontal Gyrus</a>"
Left parstriangularis Surface Area,FreeSurfer,Surface Area,FS_L_Parstriangularis_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Triangular_part_of_inferior_frontal_gyrus\"">Triangular Part of Inferior Frontal Gyrus</a>"
Left pericalcarine Surface Area,FreeSurfer,Surface Area,FS_L_Pericalcarine_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Pericalcarine_cortex\"">Pericalcarine Cortex</a>"
Left postcentral Surface Area,FreeSurfer,Surface Area,FS_L_Postcentral_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Postcentral_gyrus\"">Postcentral Gyrus</a>"
Left posteriorcingulate Surface Area,FreeSurfer,Surface Area,FS_L_Posteriorcingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Posterior_cingulate_gyrus\"">Posterior Cingulate Gyrus</a>"
Left precentral Surface Area,FreeSurfer,Surface Area,FS_L_Precentral_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precentral_gyrus\"">Precentral Gyrus</a>"
Left precuneus Surface Area,FreeSurfer,Surface Area,FS_L_Precuneus_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precuneus_cortex\"">Precuneus Cortex</a>"
Left rostralanteriorcingulate Surface Area,FreeSurfer,Surface Area,FS_L_Rostralanteriorcingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_anterior_cingulate_cortex\"">Rostral Anterior Cingulate Cortex</a>"
Left rostralmiddlefrontal Surface Area,FreeSurfer,Surface Area,FS_L_Rostralmiddlefrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_middle_frontal_gyrus\"">Rostral Middle Frontal Gyrus</a>"
Left superiorfrontal Surface Area,FreeSurfer,Surface Area,FS_L_Superiorfrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_frontal_gyrus\"">Superior Frontal Gyrus</a>"
Left superiorparietal Surface Area,FreeSurfer,Surface Area,FS_L_Superiorparietal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_parietal_cortex\"">Superior Parietal Cortex </a>"
Left superiortemporal Surface Area,FreeSurfer,Surface Area,FS_L_Superiortemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_temporal_gyrus\"">Superior Temporal Gyrus</a>"
Left supramarginal Surface Area,FreeSurfer,Surface Area,FS_L_Supramarginal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Supramarginal_gyrus\"">Supramarginal Gyrus</a>"
Left frontalpole Surface Area,FreeSurfer,Surface Area,FS_L_Frontalpole_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Frontal_pole\"">Frontal Pole</a>"
Left temporalpole Surface Area,FreeSurfer,Surface Area,FS_L_Temporalpole_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Temporal_pole\"">Temporal Pole</a>"
Left transversetemporal Surface Area,FreeSurfer,Surface Area,FS_L_Transversetemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a>"
Left insula Surface Area,FreeSurfer,Surface Area,FS_L_Insula_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a>"
Right bankssts Surface Area,FreeSurfer,Surface Area,FS_R_Bankssts_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Banks_of_superior_temporal_sulcus\"">Banks of the Superior Temporal Sulcus</a>"
Right caudalanteriorcingulate Surface Area,FreeSurfer,Surface Area,FS_R_Caudalanteriorcingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_anterior_cingulate_cortex\"">Caudal Anterior Cingulate Cortex</a>"
Right caudalmiddlefrontal Surface Area,FreeSurfer,Surface Area,FS_R_Caudalmiddlefrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Caudal_middle_frontal_gyrus\"">Caudal Middle Frontal Gyrus</a>"
Right cuneus Surface Area,FreeSurfer,Surface Area,FS_R_Cuneus_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Cuneus_cortex\"">Cuneus Cortex</a>"
Right entorhinal Surface Area,FreeSurfer,Surface Area,FS_R_Entorhinal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Entorhinal_cortex\"">Entorhinal Cortex</a>"
Right fusiform Surface Area,FreeSurfer,Surface Area,FS_R_Fusiform_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Fusiform_gyrus\"">Fusiform Gyrus</a>"
Right inferiorparietal Surface Area,FreeSurfer,Surface Area,FS_R_Inferiorparietal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_parietal_cortex\"">Inferior Parietal Cortex </a>"
Right inferiortemporal Surface Area,FreeSurfer,Surface Area,FS_R_Inferiortemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Inferior_temporal_gyrus\"">Inferior Temporal Gyrus</a>"
Right isthmuscingulate Surface Area,FreeSurfer,Surface Area,FS_R_Isthmuscingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Isthmus_of_cingulate_gyrus\"">Isthmus Cingulate Gyrus</a>"
Right lateraloccipital Surface Area,FreeSurfer,Surface Area,FS_R_Lateraloccipital_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lateral_occipital_cortex\"">Lateral Occipital Cortex</a>"
Right lateralorbitofrontal Surface Area,FreeSurfer,Surface Area,FS_R_Lateralorbitofrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lateral_orbital_frontal_cortex\"">Lateral Orbital Frontal Cortex</a>"
Right lingual Surface Area,FreeSurfer,Surface Area,FS_R_Lingual_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Lingual_gyrus\"">Lingual Gyrus</a>"
Right medialorbitofrontal Surface Area,FreeSurfer,Surface Area,FS_R_Medialorbitofrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Medial_orbital_frontal_cortex\"">Medial Orbital Frontal Cortex</a>"
Right middletemporal Surface Area,FreeSurfer,Surface Area,FS_R_Middletemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Middle_temporal_gyrus\"">Middle Temporal Gyrus</a>"
Right parahippocampal Surface Area,FreeSurfer,Surface Area,FS_R_Parahippocampal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Parahippocampal_gyrus\"">Parahippocampal Gyrus</a>"
Right paracentral Surface Area,FreeSurfer,Surface Area,FS_R_Paracentral_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Paracentral_sulcus\"">Paracentral Sulcus</a>"
Right parsopercularis Surface Area,FreeSurfer,Surface Area,FS_R_Parsopercularis_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Opercular_part_of_inferior_frontal_gyrus\"">Opercular Part of Inferior Frontal Gyrus</a>"
Right parsorbitalis Surface Area,FreeSurfer,Surface Area,FS_R_Parsorbitalis_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Orbital_part_of_inferior_frontal_gyrus\"">Orbital Part of Inferior Frontal Gyrus</a>"
Right parstriangularis Surface Area,FreeSurfer,Surface Area,FS_R_Parstriangularis_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Triangular_part_of_inferior_frontal_gyrus\"">Triangular Part of Inferior Frontal Gyrus</a>"
Right pericalcarine Surface Area,FreeSurfer,Surface Area,FS_R_Pericalcarine_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Pericalcarine_cortex\"">Pericalcarine Cortex</a>"
Right postcentral Surface Area,FreeSurfer,Surface Area,FS_R_Postcentral_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Postcentral_gyrus\"">Postcentral Gyrus</a>"
Right posteriorcingulate Surface Area,FreeSurfer,Surface Area,FS_R_Posteriorcingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Posterior_cingulate_gyrus\"">Posterior Cingulate Gyrus</a>"
Right precentral Surface Area,FreeSurfer,Surface Area,FS_R_Precentral_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precentral_gyrus\"">Precentral Gyrus</a>"
Right precuneus Surface Area,FreeSurfer,Surface Area,FS_R_Precuneus_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Precuneus_cortex\"">Precuneus Cortex</a>"
Right rostralanteriorcingulate Surface Area,FreeSurfer,Surface Area,FS_R_Rostralanteriorcingulate_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_anterior_cingulate_cortex\"">Rostral Anterior Cingulate Cortex</a>"
Right rostralmiddlefrontal Surface Area,FreeSurfer,Surface Area,FS_R_Rostralmiddlefrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Rostral_middle_frontal_gyrus\"">Rostral Middle Frontal Gyrus</a>"
Right superiorfrontal Surface Area,FreeSurfer,Surface Area,FS_R_Superiorfrontal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_frontal_gyrus\"">Superior Frontal Gyrus</a>"
Right superiorparietal Surface Area,FreeSurfer,Surface Area,FS_R_Superiorparietal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_parietal_cortex\"">Superior Parietal Cortex </a>"
Right superiortemporal Surface Area,FreeSurfer,Surface Area,FS_R_Superiortemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Superior_temporal_gyrus\"">Superior Temporal Gyrus</a>"
Right supramarginal Surface Area,FreeSurfer,Surface Area,FS_R_Supramarginal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Supramarginal_gyrus\"">Supramarginal Gyrus</a>"
Right frontalpole Surface Area,FreeSurfer,Surface Area,FS_R_Frontalpole_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Frontal_pole\"">Frontal Pole</a>"
Right temporalpole Surface Area,FreeSurfer,Surface Area,FS_R_Temporalpole_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Temporal_pole\"">Temporal Pole</a>"
Right transversetemporal Surface Area,FreeSurfer,Surface Area,FS_R_Transversetemporal_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a>"
Right insula Surface Area,FreeSurfer,Surface Area,FS_R_Insula_Area,"Neurolex definition: <a href=\""http://neurolex.org/wiki/Category:Transverse_temporal_cortex\"">Transverse Temporal Cortex</a>"
OVERALL Emotion Task accuracy,In-Scanner Task Performance,Emotion,Emotion_Task_Acc,Average accuracy Percentage during EMOTION task
OVERALL Emotion Task Reaction Time,In-Scanner Task Performance,Emotion,Emotion_Task_Median_RT,Average of median Reaction Times from each condition in EMOTION task
Emotion Task FACE accuracy,In-Scanner Task Performance,Emotion,Emotion_Task_Face_Acc,Accuracy Percentage during FACE blocks in EMOTION task
Emotion Task FACE median Reaction Time,In-Scanner Task Performance,Emotion,Emotion_Task_Face_Median_RT,Median Reaction Time for correct trials during FACE blocks in EMOTION task
Emotion Task SHAPE accuracy,In-Scanner Task Performance,Emotion,Emotion_Task_Shape_Acc,Accuracy Percentage during SHAPE blocks in EMOTION task
Emotion Task SHAPE median Reaction Time,In-Scanner Task Performance,Emotion,Emotion_Task_Shape_Median_RT,Median Reaction Time for correct trials during SHAPE blocks in EMOTION task
Gambling Task Overall Percentage 'Larger',In-Scanner Task Performance,Gambling,Gambling_Task_Perc_Larger,Overall Percentage of Trials that received a 'larger' prediction in GAMBLING task
Gambling Task Overall Percentage 'Smaller',In-Scanner Task Performance,Gambling,Gambling_Task_Perc_Smaller,Overall Percentage of Trials that received a 'smaller' prediction in GAMBLING task
Gambling Task Overall Percentage No Logged Response,In-Scanner Task Performance,Gambling,Gambling_Task_Perc_NLR,Overall Percentage of Trials with no response logged in GAMBLING task
Gambling Task Overall Reaction Time 'Larger',In-Scanner Task Performance,Gambling,Gambling_Task_Median_RT_Larger,Average of Median Reaction Times from Trials that received a 'larger' prediction in GAMBLING task
Gambling Task Overall Reaction Time 'Smaller',In-Scanner Task Performance,Gambling,Gambling_Task_Median_RT_Smaller,Average of Median Reaction Times from Trials that received a 'smaller' prediction in GAMBLING task
Gambling Task Percentage 'Larger' in Reward,In-Scanner Task Performance,Gambling,Gambling_Task_Reward_Perc_Larger,Percentage of Reward Trials that received a 'larger' prediction in GAMBLING task
Gambling Task Median Reaction Time 'Larger' in Reward,In-Scanner Task Performance,Gambling,Gambling_Task_Reward_Median_RT_Larger,Median Reaction Time for Reward Trials that received a 'larger' prediction in GAMBLING task
Gambling Task Percentage 'Smaller' in Reward,In-Scanner Task Performance,Gambling,Gambling_Task_Reward_Perc_Smaller,Percentage of Reward Trials that received a 'smaller' prediction in GAMBLING task
Gambling Task Median Reaction Time 'Smaller' in Reward,In-Scanner Task Performance,Gambling,Gambling_Task_Reward_Median_RT_Smaller,Median Reaction Time for Reward Trials that received a 'smaller' prediction in GAMBLING task
Gambling Task Percentage No Logged response in Reward,In-Scanner Task Performance,Gambling,Gambling_Task_Reward_Perc_NLR,Percentage of Reward Trials with no response logged in GAMBLING task
Gambling Task Percentage 'Larger' in Punish,In-Scanner Task Performance,Gambling,Gambling_Task_Punish_Perc_Larger,Percentage of Punish Trials that received a 'larger' prediction in GAMBLING task
Gambling Task Median Reaction Time 'Larger' in Punish,In-Scanner Task Performance,Gambling,Gambling_Task_Punish_Median_RT_Larger,Median Reaction Time for Punish Trials that received a 'larger' prediction in GAMBLING task
Gambling Task Percentage 'Smaller' in Punish,In-Scanner Task Performance,Gambling,Gambling_Task_Punish_Perc_Smaller,Percentage of Punish Trials that received a 'smaller' prediction in GAMBLING task
Gambling Task Median Reaction Time 'Smaller' in Punish,In-Scanner Task Performance,Gambling,Gambling_Task_Punish_Median_RT_Smaller,Median Reaction Time for Punish Trials that received a 'smaller' prediction in GAMBLING task
